Telugu,English
అమ్మ,Mother
నాన్న,Father
అన్న,Elder brother
తమ్ముడు,Younger brother
అక్క,Elder sister
చెల్లి,Younger sister
ఇల్లు,House
పాఠశాల,School
కళాశాల,College
పుస్తకం,Book
కలం,Pen
బల్ల,Table
కుర్చీ,Chair
నీరు,Water
పాలు,Milk
అన్నం,Rice
ఆహారం,Food
పండు,Fruit
కూరగాయ,Vegetable
చెట్టు,Tree
పువ్వు,Flower
ఆకు,Leaf
సూర్యుడు,Sun
చంద్రుడు,Moon
నక్షత్రం,Star
ఆకాశం,Sky
భూమి,Earth
వర్షం,Rain
గాలి,Wind
అగ్ని,Fire
స్నేహితుడు,Friend
గురువు,Teacher
విద్యార్థి,Student
పిల్ల,Child
మనిషి,Person
స్త్రీ,Woman
పురుషుడు,Man
రోజు,Day
రాత్రి,Night
ఉదయం,Morning
సాయంత్రం,Evening
సమయం,Time
ప్రేమ,Love
సంతోషం,Happiness
దుఃఖం,Sadness
కోపం,Anger
భయం,Fear
ధైర్యం,Courage
నిజం,Truth
అబద్ధం,Lie
మంచి,Good
చెడు,Bad
పెద్ద,Big
చిన్న,Small
కొత్త,New
పాత,Old
వేడి,Hot
చల్లని,Cold
వేగం,Speed
నెమ్మది,Slow
వెళ్ళు,Go
రా,Come
తిను,Eat
తాగు,Drink
చదువు,Study
రాయు,Write
చూడు,See
విను,Listen
మాట్లాడు,Speak
